from_type;from_id;from_name;line_id;line_name;to_type;to_id;to_name;position_average;position;position_max;equipment_type
stop_point;463182;Gare du Nord;C01375;5;stop_point;41071;Gare du Nord;Avant;1;5;
stop_point;462971;Gare Saint-Lazare;C01373;3;stop_point;41127;Haussmann Saint-Lazare;Arrière;5;5;
stop_point;462961;République;C01375;5;stop_point;462946;République;Milieu;3;5;
stop_point;462954;Gare Montparnasse;C01383;13;stop_point;462955;Montparnasse-Bienvenue;Avant;1;5;
stop_point;21918;République;C01379;9;stop_point;462961;République;Avant;1;5;
stop_point;462970;Gare Saint-Lazare;C01383;13;stop_point;462969;Saint-Lazare;Milieu;3;5;Escalator
stop_point;22027;Villiers;C01373;3;stop_point;462988;Villiers;Arrière;5;5;
stop_point;22006;Place d'Italie;C01375;5;stop_point;463026;Place d'Italie;Arrière;5;5;
stop_point;21925;Oberkampf;C01379;9;stop_point;463059;Oberkampf;Avant;1;5;
stop_point;463077;Jussieu;C01380;10;stop_point;463078;Jussieu;Avant;1;5;
stop_point;462981;Jaurès;C01372;2;stop_point;463095;Jaurès;Arrière;5;5;
stop_point;21933;Bonne Nouvelle;C01379;9;stop_point;463115;Bonne Nouvelle;Avant;1;5;Escalator
stop_point;22364;Châtelet;C01377;7;stop_point;463158;Châtelet;Avant;1;5;
stop_point;22084;George V;C01371;1;stop_point;463185;George V;Milieu;4;6;
stop_point;463249;Palais Royal - Musée du Louvre;C01377;7;stop_point;463227;Palais-Royal (Musée du Louvre);Avant;1;5;
stop_point;480531;Porte de Clichy;C01384;14;stop_point;463278;Porte de Clichy;Avant;3;8;
stop_point;22149;Gare du Nord;C01374;4;stop_point;472111;Paris Gare du Nord;Milieu;3;6;
stop_point;22364;Châtelet;C01377;7;stop_point;473990;Châtelet - Les Halles;Avant;1;5;
stop_point;22219;Porte de Clichy;C01383;13;stop_point;480541;Porte de Clichy;Avant;1;5;
stop_point;22015;Bobigny Pablo Picasso;C01375;5;access_point;50147772;Gare routière Bus 146-303-347;Arrière;5;5;
stop_point;22130;Barbès - Rochechouart;C01374;4;access_point;50147785;1 Bd de Rochechouart;Avant;2;6;
stop_point;21959;Châtelet;C01384;14;access_point;50147796;Rue des Lavandières;Avant;3;8;Escalator
stop_point;463091;Réaumur - Sébastopol;C01373;3;access_point;50147819;81 rue Réaumur;Avant;1;5;
stop_point;462954;Gare Montparnasse;C01383;13;access_point;50147840;Centre Commercial;Avant;2;5;
stop_point;22155;Raspail;C01376;6;access_point;50147856;Boulevard Edgard Quinet;Avant;1;5;
stop_point;462988;Villiers;C01372;2;access_point;50147865;Parc de Monceau;Arrière;5;5;
stop_point;21962;Gare Saint-Lazare;C01384;14;access_point;50147867;Place Gabriel Péri;Avant;3;8;
stop_point;21926;Havre - Caumartin;C01379;9;access_point;50147906;Boulevard Haussmann;Avant;1;5;
stop_point;21952;Jaurès;C01375;5;access_point;50147924;Face au 1 avenue Jean-Jaurès;Arrière;5;5;
stop_point;22113;Philippe Auguste;C01372;2;access_point;50147950;19 rue de Mont-Louis;Avant;1;5;
stop_point;22116;Ménilmontant;C01372;2;access_point;50147951;Ménilmontant (139/148 boulevard de);Avant;1;5;
stop_point;463095;Jaurès;C01375;5;access_point;50147954;Face au 196 boulevard de la Villette;Avant;1;5;
stop_point;22082;Franklin D. Roosevelt;C01371;1;access_point;50147973;27 avenue des Champs-Elysées;Avant;2;6;
stop_point;463042;Charles de Gaulle - Etoile;C01376;6;access_point;50147977;Place Charles de Gaulle;Arrière;5;5;
stop_point;22103;Saint-Mandé;C01371;1;access_point;50148008;180 avenue Galliéni;Arrière;6;6;
stop_point;463012;Porte de Vincennes;C01371;1;access_point;50148009;81 Cours de Vincennes;Avant;2;6;
stop_point;22365;Place d'Italie;C01377;7;access_point;50148017;Manufacture des Gobelins;Avant;1;5;
stop_point;22171;Dupleix;C01376;6;access_point;50148028;Boulevard de Grenelle;Avant;1;5;
stop_point;22183;La Motte-Picquet - Grenelle;C01378;8;access_point;50148030;Face au 130-113 boulevard de Grenelle;Arrière;5;5;
stop_point;463075;Dugommier;C01376;6;access_point;50148044;3 boulevard de Reuilly;Avant;1;5;
stop_point;463168;Daumesnil;C01378;8;access_point;50148045;6 Place Félix Eboué;Avant;1;5;
stop_point;24683;Buttes Chaumont;C01387;7B;access_point;50148059;28 rue Botzaris;Arrière;2;3;
stop_point;22393;Fort d'Aubervilliers;C01377;7;access_point;50148069;213 avenue Jean Jaurès;Milieu;3;5;
stop_point;463144;Chaussée d'Antin - La Fayette;C01379;9;access_point;50148095;36 boulevard Haussmann;Arrière;5;5;
stop_point;463029;Porte d'Ivry;C01377;7;access_point;50148137;Avenue d'Ivry;Arrière;5;5;
stop_point;463051;Balard;C01378;8;access_point;50148153;8 boulevard Victor;Arrière;5;5;
stop_point;463177;École Militaire;C01378;8;access_point;50148168;Avenue Duquesne;Arrière;5;5;
stop_point;463063;Madeleine;C01378;8;access_point;50148176;Boulevard de la Madeleine;Avant;2;5;
stop_point;463115;Bonne Nouvelle;C01378;8;access_point;50148181;15 Boulevard de Bonne Nouvelle;Avant;1;5;
stop_point;22200;Filles du Calvaire;C01378;8;access_point;50148184;Cirque d'Hiver;Arrière;5;5;
